"","Sample","O","Mg","Si","P","S","K","Ca","Mn","Fe","N","Na","Cl","C"
"1","COM001",0.328051062623146,0.0353942596959773,0.214839894481337,0.0571136031095601,0.00873269864272115,0.0166137278818858,0.407282904997713,0.00381816396144658,0.0710018744251829,NA,NA,NA,NA
"2","COM002",0.903094059023603,0.114751176353648,0.719814744485299,0.0865719419147897,0.0176522092486027,0.0709640371794572,1.02284151659899,0.00736572806736895,0.174979979381051,NA,NA,NA,NA
"3","COM003",0.175820512908335,0.0189933823922853,0.0896068089591674,0.0540617776874303,0.00765563944143786,0.00607040057222751,0.134440781105661,0.0023406887502844,0.0287419812443775,0.463269130243982,NA,NA,NA
"4","COM004",17.3581474061393,0.418049842931419,28.7122602791938,0.0278380083415838,0.0211334836500387,6.42956777559446,4.86888871652897,0.111405960519317,0.403255711131717,NA,6.2858249361433,0.333038745490407,NA
"5","COM005",17.0792839263452,0.457813802017004,28.3539459231593,0.0314746146829242,0.0293319122482815,6.29131939958605,4.80742282803954,0.112737311808496,0.397706637394816,NA,6.29761535146928,0.894467546946451,NA
"6","COM006",17.5364272981891,0.368108240194148,28.8164553915862,0.0272715018260986,0.0169366038131738,6.35498542083255,4.57780727990789,0.111755034332943,0.355560488038779,NA,6.3021267774244,0.433962283565555,NA
"7","COM007",0.156245862598815,0.0157596216280682,0.126493106313914,0.0557430228301605,0.00738181083094211,0.00760964137068188,0.167029411683524,0.0032986122388401,0.0452998323070481,0.581830898173722,NA,NA,1.75207478709661
"8","COM008",0.159407921494968,0.0215706194886018,0.103342869885969,0.0567115662276029,0.00833838544360727,0.00725079995754528,0.171547892131085,0.00346909014782035,0.0377074320037774,0.474247071718957,NA,NA,NA
"9","COM009",0.102340287131058,0.00822639423871649,0.0567926504677745,0.0544820889731128,0.00693455743379905,0.0032657716327125,0.0318983990600079,0.00252740265059611,0.0227135585316681,0.406183834574107,NA,NA,3.97424053259406
"10","COM010",NA,0.180803564541352,NA,0.0133537159488884,0.0305708345837689,NA,0.172015397184712,0.00116087338019885,0.141495963918365,0.209095479031181,NA,NA,2.64975056870118
"11","COM011",NA,0.284851878308994,NA,0.0152741730363832,0.0548448281421822,NA,0.113559623781138,0.000828035557904076,0.0937438689130431,NA,NA,1.42331658205989,2.83511237476685
"12","COM012",NA,0.201568034037742,NA,0.0136634670920327,0.0361605892860222,NA,NA,0.000844271549235527,0.0775313116041327,0.23513378396714,NA,0.797077799801249,2.48853551131839
"13","COM013",NA,NA,NA,NA,0.0151195988555287,NA,NA,NA,NA,4.91729443517858,NA,NA,404.277650021676
"14","COM014",NA,NA,NA,NA,0.010654366980378,NA,NA,NA,NA,4.98357375683374,NA,NA,403.389191709844
"15","COM015",NA,NA,NA,NA,0.0105211037232701,NA,NA,NA,NA,5.03091612944458,NA,NA,405.929571710981
"16","COM016",NA,NA,NA,NA,0.020450129139846,NA,NA,NA,NA,4.87705341845937,NA,NA,395.211966288234
"17","COM017",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92676290970074,NA,NA,406.425290257471
"18","COM018",NA,NA,NA,NA,0.0103495044606927,NA,NA,NA,NA,4.97173816368104,NA,NA,404.976485336498
"19","COM019",0.277458120284692,0.0425946448536958,0.164556175606304,0.0161241155536482,0.00966006487026676,0.0115427321225607,0.302200118132349,0.00114734338742265,0.0378455495052815,NA,NA,NA,NA
"20","COM020",0.16136538652592,0.025222723241202,0.0483986261787611,0.011994100311724,0.00690534904867951,0.00193900272361532,0.0740929353624062,0.000408605781841554,0.0277914078516726,NA,NA,NA,NA
"21","COM021",0.202622726409064,0.0554808303352784,0.0785756302919112,0.00850368920018621,0.0035482102840016,NA,0.0960436207577273,6.76499638810536e-05,0.00568854533155704,NA,NA,NA,NA
"22","COM022",17.0565472171395,0.515590938390706,28.3113704837751,0.0268511905404161,0.0566618330998274,6.25108666693688,4.481549753536,0.112014810194246,0.335838121279882,NA,6.30368018398678,1.56380071823529,NA
"23","COM023",17.173392822064,0.508161533348837,28.482298724214,0.0267232697143388,0.0458693347981548,6.25682340794952,4.41708036559827,0.110488627009089,0.328302592888995,NA,6.30780474623863,1.50386660347394,NA
"24","COM024",17.2399466331164,0.468983865166679,28.5640801408876,0.0292268630247088,0.0431839888912265,6.32764737106859,4.48655117552481,0.110918880779373,0.347196254638868,NA,6.2609347206495,0.875415693607881,NA
"25","COM025",17.0654310968954,0.562500317861814,28.3561936422201,0.0310908522046923,0.054168167220246,6.24853700426459,4.43174061841202,0.110862054809713,0.337284292766219,NA,6.30193036969812,1.86144287053352,NA
"26","COM026",17.4519551533918,0.391776681821576,28.8242060010028,0.0258278239317977,0.026009458440933,6.34794079730097,4.49853209513028,0.111065004701356,0.327762309721346,NA,6.29951395948997,0.461334492299475,NA
"27","COM027",17.1155723165344,0.59815107982804,28.3549364434234,0.0274359714596266,0.0484049877313455,6.25491588254285,4.47470918430793,0.110196379165123,0.325312755209376,NA,6.33796821159554,1.54396045955567,NA
"28","COM028",NA,0.258465734056303,NA,0.0170500795904106,0.0498082072331304,NA,0.249643288212047,0.000259775861303247,0.0404427001708198,0.258804970272556,NA,1.26082853759579,3.08013085404905
"29","COM029",NA,0.229752747780634,NA,0.0161208261609777,0.0447971436610582,NA,NA,NA,0.0503099769694526,0.270640563425265,NA,1.06325262824457,2.41538506677907
"30","COM030",NA,0.336558460953458,NA,0.0159556255513007,0.0578971043871749,NA,NA,NA,0.0385699893416022,0.246969377119848,NA,2.0445570275447,2.03116768332495
"31","COM031",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13141104983874,NA,NA,378.023032218474
"32","COM032",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19188019632141,NA,NA,405.293233863338
"33","COM033",NA,NA,NA,0.00156252243319467,NA,NA,NA,NA,NA,5.31970460237066,NA,NA,418.487301423062
"34","COM034",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23922256893225,NA,NA,409.31579811451
"35","COM035",NA,NA,NA,0.0146546707500945,NA,NA,NA,NA,NA,5.60849307529675,NA,NA,422.764826932386
"36","COM036",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30184359123774,NA,NA,379.437037413404
"37","COM037",0.0485350944854016,NA,0.0805228068793777,0.00667015735974491,NA,0.002090093844936,0.0847419066075344,0.00393452189932199,0.0636870632180724,NA,NA,NA,NA
"38","COM038",0.328452593911547,0.0273052773877516,0.207741165922247,0.019133300700419,0.00836150874849358,0.00935191086341091,0.183513375248928,0.00445407362192847,0.0843275051340267,0.392278442039138,NA,NA,NA
"39","COM039",NA,NA,0.0558232951666226,0.00374625276369235,NA,NA,0.0135642621927486,NA,0.0125714008231791,NA,NA,NA,NA
"40","COM040",0.0431144220919958,NA,0.0180142054291199,0.0288004602711178,0.00694307654612559,NA,NA,0.0106156323322147,0.015821224387982,0.486688738723931,NA,NA,7.07493692166025
"41","COM041",NA,NA,0.00746982090873039,0.00365488074506571,NA,NA,0.0286677627224406,NA,0.00411373499577964,NA,NA,NA,NA
"42","COM042",0.0358868589007883,NA,0.085069040911854,0.00796764002424324,NA,NA,0.0933819292495746,0.00360168407702721,0.023722357929909,NA,NA,NA,NA
"43","COM043",0.121111874863778,0.00735611867894136,0.0943900905762047,0.0135413331604684,0.00293970226067771,0.0029871973777775,0.092733596769544,0.00303342438042637,0.0203831642170741,NA,NA,NA,3.24258498113896
"44","COM044",NA,NA,0.0284019692239958,0.00464169854623345,0.00272429042042106,NA,0.0142787510482925,0.000533081715382688,0.00399186661209953,NA,NA,NA,NA
"45","COM045",0.0333270969372355,NA,0.00999268448727401,0.0243780545695883,0.00476887737878933,NA,NA,0.011524847846776,0.0130994971524596,0.567925505638753,NA,NA,7.47793678860176
"46","COM046",NA,NA,NA,NA,0.013575814000356,NA,NA,NA,NA,4.95516833326724,NA,NA,403.883253126522
"47","COM047",NA,NA,NA,NA,0.0153410957760186,NA,NA,NA,NA,5.09956256973028,NA,NA,403.392505969467
"48","COM048",NA,NA,NA,0.0520726088419282,0.0887618483462092,NA,NA,NA,NA,5.4925042624002,NA,3.10319659152837,377.372963866678
"49","COM049",NA,NA,NA,0.0480664940572617,0.0176558602967427,NA,NA,NA,NA,5.18714595906033,NA,NA,403.694340328003
"50","COM050",NA,NA,NA,0.0334875402532691,0.00924749643045316,NA,NA,NA,NA,5.01671341766133,NA,NA,405.533754418846
"51","COM051",NA,NA,NA,0.157780348958979,0.016987718487133,NA,NA,NA,NA,5.963560869878,NA,NA,417.343645120248
"52","COM052",NA,NA,NA,0.0593620857439245,0.0201933387540033,NA,NA,NA,NA,5.28183070428199,NA,NA,396.678289438644
"53","COM053",NA,NA,NA,0.16917919102669,0.0271923980382747,NA,NA,NA,NA,6.38727510474496,NA,NA,420.659561873201
"54","COM054",NA,NA,NA,0.155859891871485,0.0170844712628415,NA,NA,NA,NA,5.92331985315879,NA,NA,407.085538120967
