"","Day","Treatment","C","N","O","Na","Mg","Al","Si","P","S","Cl","K","Ca","Mn","Fe","Cu","As"
"1",0,"K1",-0.773761255588293,0.25055436113277,-0.158730337445793,-0.0799925022969904,0.108098912118665,-2.23127387828796,-0.0501800105567883,0.0352336595292243,0.019651766613245,0.194718258924107,0.0318267151598617,0.289649151091213,0.00248951867082272,0.106248919171774,0.00120332914042224,0.000774101164593284
"2",0,"K2",-9.42921469702908,0.166350119412994,5.01914110497825e-05,-0.0181151408954207,0.199801527331321,-0.657487092123759,0.0121254072495611,0.0509230574755865,0.0362485186953925,0.663348689970287,0.0328985178017299,0.568200570190065,0.00409688181263651,0.134361924147047,0.00200464694396276,0.00141512140286568
"3",0,"K3",1.25446741483376,0.349201457105561,-0.235447909235799,-0.0539893096876064,0.110280708215013,-1.90586213030197,-0.113035717398725,0.0338626223897315,0.02190811436373,0.327533941207835,0.0251881490168341,0.0904159184140605,0.00159248014975996,0.0531366464242551,0.00182308253024914,0.0021268150523209
"4",0,"NPC1",69.8868709261957,0.286112599691559,-0.232361137456222,-0.0886106352561082,0.0963868352431648,1.46989359091401,-0.13432767008341,0.01274883318558,0.0181265412527837,0.146238984870337,0.040769420903028,0.276781736053871,2.1647988441946e-05,0.064330257465273,-0.000292802201631262,4.13294802238673e-06
"5",0,"NPC2",69.4802671796792,0.357675055681559,-0.423515126440346,-0.0707762185351157,0.112317458384733,1.13667696787732,-0.339674373202088,0.0131526061358912,0.0199931396143297,0.445040781917781,-0.0290960579151589,0.187864259545188,0.000443783763059695,0.0430865670501022,0.000207260680831378,0.000155398845641794
"6",0,"NPC3",70.3640034270785,0.359390359037022,-0.14803956689213,-0.0746121209468229,0.0672799347667559,0.787151101220569,-0.0913860768409016,0.0117118521461863,0.0137288537682219,0.205583709231098,0.00337436837616201,0.0816932003026292,0.000516845724051238,0.0268841654398318,0.000734710374301076,0.00062035549816046
"7",0,"uZ1",198.482020537665,2.72944215831654,-8.84189464051601,-3.11367945951903,-0.0886352755642555,-15.802442158052,-14.4125164227769,0.0278474196595024,0.013915969985394,0.111189392087167,-3.16477508743886,-2.09321087597301,-0.0540847931236235,-0.128792539012866,-0.0533532270383504,-0.0452392490530597
"8",0,"uZ2",203.48486269915,2.70050499070985,-8.87833360493834,-3.25613160268893,-0.105103332033965,-14.7107168526128,-14.4616805151141,0.0255955562604487,0.00842114253477932,-0.0989627306169071,-3.17110438894293,-2.11931618175057,-0.0542633890282695,-0.136183856483065,-0.0537701151614582,-0.0462646334574142
"9",0,"uZ3",204.475362934546,2.68896099912757,-8.85687677671445,-3.24874250595637,-0.0862595759659921,-16.6269609393501,-14.4629334809182,0.0246666683190903,0.00864203094724589,-0.0686320882488542,-3.17355253726808,-2.16599612031277,-0.0543039790065981,-0.144667927126928,-0.052834906281883,-0.0450036710157836
"10",1,"K1",-4.47342696320321,0.154651750528722,-0.34529181231884,-0.0890123783325865,0.150530189454999,1.13774461587954,-0.235174485343854,0.0165870975720294,0.0297341360516986,0.559929810718611,-0.0280006472855845,0.275921703172198,0.000703559624362946,0.0391441248380507,5.5111730792028e-05,0.000395936420544777
"11",1,"K2",-2.36128154133534,0.247295284757386,-0.396035328890443,-0.0888397776034332,0.127487735510918,1.22061619012057,-0.401594588683524,0.0140574632363508,0.0258512463548688,0.471195937746585,-0.00477746977884234,0.0444537765261784,-9.20039508782252e-05,0.0390506924105626,-0.000431764909333855,-0.000655485556350746
"12",1,"K3",-3.05453348717244,0.108115570494958,-0.454909854052156,-0.07701365178177,0.196019645644368,0.859972058061416,-0.642092062198549,0.0122296573757434,0.0307226573355882,0.936029776082467,-0.0630514266332099,0.0341201506709972,-0.000631850662649024,0.0221292673365796,0.000731667395300289,0.000252109829365674
"13",1,"NPC1",56.5603286820518,-0.0673085036684462,-0.637179963280424,-0.0698596491458168,0.138164642510054,2.17520395044741,-0.352496107731293,0.00737168126142074,0.0296483364204099,0.796627464711621,-0.0493115777881115,0.0251228836011848,0.000135299927762095,0.0148841919267972,0.00119927183508787,0.00157258672251866
"14",1,"NPC2",70.0986460718719,0.422307686115478,-0.32097407366509,-0.073749117301054,0.137634843178051,-4.41041708170906,-0.178132793812537,0.010745958537284,0.0256029750813527,0.73578247387663,-0.0436928767139988,0.0557168994573223,0.00380463396867038,0.109703887849105,0.002362704139722,0.00269964164822388
"15",1,"NPC3",76.8101426935818,0.535620625777495,-0.269778834394037,-0.107117599645873,0.118951401028984,-2.88935001758536,-0.146362067992474,0.0153946927289517,0.0240257222848972,0.402907022696343,-0.00875541570736393,0.0764436919056464,0.00313084032841509,0.102668019831307,0.00123173027776292,0.00127253469609328
"16",1,"uZ1",72.2425237667273,0.508553138828258,-0.417642731347492,-0.0881106883164913,0.158887888427296,-0.409130077539135,-0.302491766366636,0.0103588152943629,0.029254023221296,0.903356880953626,-0.0512710407677397,-0.00875910411796399,0.000662969646034316,0.0357968065663037,0.000869615776669296,0.000921647408992553
"17",1,"uZ2",78.7866175378218,0.625125154865658,-0.26910125034486,-0.0944284701784417,0.0699457262182776,-9.77818308237139,-0.112849465725143,0.0202412473409461,0.0163822530039258,0.215614827672318,-0.00139444514052167,0.015083653617038,0.00480720643338755,0.0118049840991464,0.00362756907771571,0.00410567056544031
"18",1,"uZ3",57.225172688262,0.0464504148659919,-0.618508758369803,-0.0702048506041244,0.175759019893112,1.63015123759158,-0.347350905248542,0.00782927233070296,0.023969131038728,0.74376986196775,-0.0485655653765904,0.00128343368495942,-0.00097686547844239,0.0117907661210505,0.00076514016430896,0.000177716764962685
"19",2,"K1",200.97447221442,2.46733808792364,-8.95796227856925,-3.19247863608514,-0.123230510331083,-16.2343119108567,-14.5967031014796,-0.000922278698677791,0.00772926891226005,-0.028591813112631,-3.16285890577003,-2.21996097842525,-0.0549250056750262,-0.129808785923443,-0.053835708264364,-0.0461737086009216
"20",2,"K2",200.42016229245,2.74592050588471,-8.80814091658485,-3.20273647597122,-0.112900186756629,-16.2180762981333,-14.5293964029383,0.00799380287891001,0.0118513022622561,-0.0517119910994332,-3.16074835166908,-2.16467409540877,-0.0545353418830713,-0.117617885275976,-0.0539939431724049,-0.0467725727693657
"21",2,"K3",186.301574959234,2.69428987488522,-8.96827661354004,-2.6651863843955,-0.0664992314283378,-24.5750358123125,-14.609169264632,0.0279094308028103,0.0453213733231517,1.46133736584518,-3.13644628912416,-2.22127749029797,-0.0501353882322477,-0.146864266219474,-0.050720712093892,-0.0430913559658246
"22",2,"NPC1",205.384638624831,2.83691734889213,-8.94614220126696,-3.20095392706151,-0.122041133732723,-23.168317530771,-14.6110804607825,0.0384334771641897,0.0122994684214341,-0.00921847410101157,-3.16479476076195,-2.22263369599599,-0.0512394356427865,-0.149791138567525,-0.0515189869184317,-0.0432004657936157
"23",2,"NPC2",190.994430590146,2.14571870877396,-9.17147654117618,-3.21206584296944,-0.124586308045258,-10.7848156148523,-14.6331703325688,0.0185712104991674,0.00519087769296445,-0.0618502714316694,-3.16684157329609,-2.24717109567388,-0.0571412184917694,-0.159093758521773,-0.0556969970865119,-0.0475103039913619
"24",2,"NPC3",207.759519711733,3.03191303434139,-8.89065559635113,-3.22107083963183,-0.120822747949038,-27.7455822244127,-14.5694722602032,0.0828739944916113,0.00924901770051147,-0.0587808486961264,-3.16451146490947,-2.20833730324756,-0.049473771585491,-0.140429615561164,-0.0504559729208235,-0.0416282923658992
"25",2,"uZ1",199.960437209891,2.74264427647577,-8.83215750677229,-3.17061190922617,-0.103099662514179,-15.9119926605323,-14.5347236241021,0.0364517094521965,0.0115665205073405,-0.00571657659100926,-3.15941686116244,-2.09412824438013,-0.0544095129502525,-0.137234632769018,-0.0537778916633491,-0.0462716594690522
"26",2,"uZ2",210.056883388908,3.3206157420997,-8.9082727816297,-3.22646907622984,-0.123316011087832,-26.0362777728637,-14.6229561214698,0.0869104447864619,0.0149583442293479,-0.0606332185265539,-3.1656753387034,-2.24660215084447,-0.0503951640935509,-0.152685512679927,-0.0505949356285261,-0.0417931969919925
"27",2,"uZ3",207.281737454784,3.24562267939877,-8.72336762332131,-3.23236725976747,-0.122462530319562,-35.2720956701089,-14.3944845798786,0.0901189732205364,0.0109266743208154,-0.0504145667760553,-3.16443828014758,-2.24883162069927,-0.0449601659953472,-0.146937387249682,-0.0459665645683294,-0.0372490206413769
